"","site_id","taxa_name","date_obs"
"632",1,"Myotis septentrionalis","2021-07-27"
"633",1,"Myotis septentrionalis","2021-08-16"
"634",1,"Myotis septentrionalis","2021-08-22"
"635",1,"Myotis septentrionalis","2021-07-16"
"636",1,"Myotis septentrionalis","2021-07-19"
"637",1,"Myotis septentrionalis","2021-08-19"
"638",1,"Myotis septentrionalis","2021-08-20"
"639",1,"Myotis septentrionalis","2021-08-19"
"640",1,"Myotis septentrionalis","2021-08-18"
"641",1,"Myotis septentrionalis","2021-08-18"
"642",1,"Myotis septentrionalis","2021-08-18"
"643",1,"Myotis septentrionalis","2021-08-13"
"644",1,"Myotis septentrionalis","2021-08-13"
"645",1,"Myotis septentrionalis","2021-08-14"
"646",1,"Myotis septentrionalis","2021-08-15"
"647",1,"Myotis septentrionalis","2021-06-08"
"648",1,"Myotis septentrionalis","2021-08-15"
"649",1,"Myotis septentrionalis","2021-06-08"
"650",1,"Myotis septentrionalis","2021-08-15"
"651",1,"Myotis septentrionalis","2021-08-10"
"652",1,"Myotis septentrionalis","2021-08-18"
"653",1,"Perimyotis subflavus","2021-08-03"
"654",1,"Perimyotis subflavus","2021-08-24"
"655",1,"Perimyotis subflavus","2021-05-27"
"656",1,"Perimyotis subflavus","2021-08-22"
"657",1,"Perimyotis subflavus","2021-08-15"
