;abba;acpe;acsa;beal;bepa;fagr;piru
160-820;7;0;0;14;1;0;2
160-840;13;0;0;15;5;0;3
160-860;13;0;0;17;11;1;4
160-880;5;0;0;9;4;0;3
160-900;13;0;0;4;4;0;3
160-920;27;0;0;4;14;0;1
160-940;27;0;0;2;42;0;6
160-960;13;0;0;3;22;0;7
160-980;10;0;0;9;0;0;3
180-0;0;1;17;6;0;2;0
180-100;0;0;10;1;0;6;0
180-120;0;5;6;4;1;4;0
180-140;0;3;5;5;1;6;0
180-160;0;8;9;1;1;8;0
180-180;0;19;4;5;0;6;0
180-20;0;3;11;3;0;5;1
180-200;0;9;2;8;1;5;0
180-220;0;2;6;2;0;10;3
180-240;0;0;7;7;1;2;0
180-260;0;1;6;10;2;6;0
180-280;0;1;8;13;0;3;0
180-300;0;0;18;8;6;3;0
180-320;0;1;14;9;5;1;0
180-340;0;0;16;3;9;1;0
180-360;1;0;14;5;3;1;0
180-380;0;8;5;4;1;2;1
180-40;0;0;11;5;0;11;0
180-400;2;6;0;7;12;0;0
180-420;3;3;0;2;20;0;0
180-440;14;2;0;5;15;0;4
180-460;6;1;10;8;11;0;1
180-480;2;2;7;10;1;0;0
180-500;0;3;7;2;1;2;0
180-520;2;2;6;6;0;1;2
180-540;2;4;3;5;3;1;3
180-560;0;1;9;8;1;0;0
180-580;1;5;16;6;0;0;0
180-60;0;2;8;6;2;8;0
180-600;0;1;18;4;1;0;0
180-620;1;0;19;6;0;0;0
180-640;0;0;13;2;0;0;0
180-660;0;0;20;2;1;0;0
180-680;8;2;7;4;2;0;1
180-700;5;0;0;6;8;0;3
180-720;22;0;0;11;18;0;6
180-740;8;2;0;8;0;0;2
180-760;15;0;0;19;1;1;1
180-780;13;0;0;9;1;0;5
180-80;0;2;5;8;2;3;1
180-800;13;0;0;8;2;0;2
180-820;6;0;0;13;0;0;4
180-840;5;0;0;11;1;0;2
180-860;11;0;0;13;2;0;3
180-880;20;0;0;8;2;0;1
180-900;18;0;0;1;3;0;5
180-920;12;0;0;4;5;0;2
180-940;36;0;0;8;23;0;8
180-960;12;0;0;7;21;0;8
180-980;20;0;0;15;12;0;9
20-0;0;0;7;1;0;5;1
20-100;0;5;6;1;0;12;0
20-120;0;5;3;5;0;16;0
20-140;1;1;5;8;1;1;0
20-160;2;1;4;6;0;7;1
20-180;1;1;7;11;0;9;0
20-20;0;0;15;1;0;7;1
20-200;0;1;2;12;0;6;2
20-220;1;1;10;10;0;1;4
20-240;1;8;12;9;0;1;5
20-260;0;1;16;4;0;1;0
20-280;0;1;14;1;0;3;0
20-300;0;1;22;2;0;2;0
20-320;0;0;27;4;0;0;0
20-340;0;0;14;1;0;0;0
20-360;5;2;4;15;5;0;1
20-380;0;1;3;17;0;0;0
20-40;0;1;10;4;0;4;0
20-400;2;0;21;2;0;1;0
20-420;1;0;19;5;0;0;1
20-440;5;0;22;2;11;2;0
20-460;3;0;10;5;3;0;1
20-480;2;4;10;9;0;0;0
20-500;0;0;3;8;1;0;2
20-520;4;0;0;5;2;0;4
20-540;23;0;0;3;27;0;1
20-560;20;0;0;12;17;1;0
20-580;6;5;0;7;4;0;0
20-60;0;1;18;1;0;6;1
20-600;10;4;0;9;14;0;2
20-620;4;1;1;9;11;0;1
20-640;2;0;12;9;4;0;2
20-660;0;3;1;14;4;0;0
20-680;1;7;2;11;3;0;5
20-700;1;0;2;9;0;0;2
20-720;0;1;1;17;0;0;2
20-740;5;0;2;17;2;0;0
20-760;2;0;0;10;1;0;2
20-780;0;0;0;19;6;0;5
20-80;0;3;9;2;0;7;0
20-800;5;0;0;15;0;0;2
20-820;7;0;0;17;0;0;2
20-840;4;0;0;6;0;0;0
20-860;4;0;0;11;1;0;1
20-880;9;0;0;10;3;0;2
20-900;14;0;0;6;16;0;7
20-920;13;0;0;11;8;1;6
20-940;16;0;0;11;5;0;2
20-960;13;0;0;3;8;0;3
20-980;27;0;0;7;31;0;7
40-0;0;1;10;1;0;6;0
40-100;0;6;2;4;0;11;0
40-120;2;3;13;2;0;12;0
40-140;0;3;10;3;0;7;0
40-160;0;2;13;7;2;8;0
40-180;1;3;6;2;0;5;0
40-20;0;0;10;3;0;3;0
40-200;0;3;7;8;0;1;3
40-220;2;7;5;9;0;2;2
40-240;1;5;11;4;0;0;2
40-260;0;0;13;3;0;1;2
40-280;0;0;22;3;0;0;0
40-300;1;0;26;0;0;2;0
40-320;0;0;23;2;0;2;0
40-340;0;0;19;7;0;5;0
40-360;1;1;4;9;1;1;0
40-380;0;1;6;3;0;1;0
40-40;0;2;13;1;0;7;0
40-400;1;2;17;5;2;0;0
40-420;1;1;16;4;0;0;1
40-440;3;1;12;7;8;0;0
40-460;2;1;7;9;3;0;0
40-480;1;2;10;7;1;0;0
40-500;5;1;0;16;3;0;3
40-520;3;1;0;6;1;1;1
40-540;6;1;0;14;32;0;2
40-580;4;2;0;10;4;0;0
40-60;0;2;8;2;0;14;0
40-600;8;3;1;8;6;0;3
40-620;13;1;3;10;10;0;2
40-640;0;0;1;18;0;0;1
40-660;0;3;0;20;5;0;2
40-680;0;1;1;18;1;0;1
40-700;1;0;2;11;1;0;2
40-720;0;0;0;14;0;0;1
40-740;0;0;3;15;2;0;2
40-760;1;0;4;10;1;0;2
40-780;0;0;3;12;0;0;0
40-80;1;0;10;2;0;11;0
40-800;3;0;0;13;2;0;1
40-820;2;0;0;13;1;0;4
40-840;0;0;0;16;0;0;2
40-860;7;0;0;11;2;0;3
40-880;6;0;0;19;1;0;1
40-900;13;0;0;7;8;0;8
40-920;17;0;0;7;6;0;4
40-940;17;0;0;10;8;0;4
40-960;20;0;0;4;5;0;5
40-980;32;0;0;5;34;0;6
60-0;0;35;47;3;0;42;1
60-100;2;8;6;2;0;8;0
60-120;4;9;5;3;0;11;0
60-140;1;7;10;1;0;7;1
60-160;1;2;4;2;0;2;0
60-180;2;3;5;9;1;1;0
60-20;0;1;16;0;0;7;0
60-200;2;7;3;4;2;5;8
60-220;2;5;9;6;0;7;1
60-240;0;0;9;2;0;2;0
60-260;0;1;13;3;0;3;0
60-280;3;1;16;2;0;0;1
60-300;1;2;14;3;0;6;0
60-320;0;0;14;6;0;1;0
60-340;0;0;31;0;1;4;0
60-360;0;0;23;6;0;0;0
60-380;0;1;14;7;2;1;1
60-40;0;0;8;3;0;6;0
60-400;0;1;11;5;2;1;0
60-420;0;3;20;1;1;1;1
60-440;1;1;32;3;2;0;0
60-460;0;0;14;3;4;0;0
60-480;0;1;3;9;4;0;0
60-500;7;2;1;15;1;0;2
60-520;4;3;0;11;4;2;2
60-540;7;0;1;7;3;4;2
