X,Y,pH
40,760,5.16
40,780,4.25
40,800,4.68
40,820,5.59
40,840,3.97
40,860,3.8
40,880,4.33
40,900,4.25
40,920,4.34
40,940,4.14
40,960,4.6
40,980,4.18
60,0,5.08
60,20,4.3
60,40,4.23
60,60,4.72
60,80,4.3
60,100,4.23
60,120,3.86
60,140,4.26
60,160,4.44
60,180,4.51
60,200,3.7
60,220,3.69
60,240,3.98
60,260,3.76
60,280,3.78
60,300,4.23
60,320,4.11
60,340,4.26
60,360,4.53
60,380,4.59
60,400,4.08
60,420,4.61
60,440,4.96
60,460,4.6
60,480,4.03
60,500,3.67
60,520,3.78
60,540,4.49
60,560,3.75
60,580,4.94
60,600,3.79
60,620,4.33
60,640,4.81
60,660,3.8
60,680,4.71
60,700,5.37
60,720,4.21
60,740,4.4
60,760,3.68
60,780,4.2
60,800,4.18
60,820,4.35
60,840,4.23
60,860,4.37
60,880,4.34
60,900,3.97
60,920,4.35
60,940,4.13
60,960,3.72
60,980,3.9
80,0,4.44
80,20,4.99
80,40,4.42
80,60,4.17
80,80,4.03
80,100,4.12
80,120,4.34
80,140,3.93
80,160,4.26
80,180,3.73
80,200,3.98
80,220,3.99
80,240,3.92
80,260,3.84
80,280,4.24
80,300,3.99
80,320,4.34
80,340,4.63
80,360,4.07
80,380,4.32
80,400,4.28
80,420,3.82
80,440,4.04
80,460,3.9
80,480,4.5
80,500,4.08
80,520,4.03
80,540,4.21
80,560,3.57
80,580,3.97
80,600,3.74
80,620,4.27
80,640,3.8
80,660,3.45
80,680,3.5
80,700,3.79
80,720,3.37
80,740,4.3
80,760,4.22
80,780,4.03
80,800,4.58
80,820,4.2
80,840,4.28
80,860,4.17
80,880,3.94
80,900,3.72
80,920,3.88
80,940,3.8
80,960,3.58
80,980,3.96
100,0,4.13
100,20,4.5
100,40,4.38
100,60,4.91
100,80,4.05
100,100,4.28
100,120,3.97
100,140,3.78
100,160,4.06
100,180,4.08
100,200,4.01
100,220,4.03
100,240,4.22
100,260,5.28
100,280,4.51
100,300,4.34
100,320,4.43
100,340,3.98
100,360,4.51
100,380,4.32
100,400,3.71
100,420,3.96
100,440,4.02
100,460,4.07
100,480,4.13
100,500,3.85
100,520,5.06
100,540,3.72
100,560,3.81
100,580,3.62
100,600,3.77
100,620,3.67
100,640,4.72
100,660,4.3
100,680,4.61
100,700,4.33
100,720,4.01
100,740,4.02
100,760,4.51
100,780,3.99
100,800,3.66
100,820,3.8
100,840,4.1
100,860,3.8
100,880,4.15
100,900,3.95
100,920,4.26
100,940,4.05
100,960,3.99
100,980,3.87
120,0,4.07
120,20,3.87
120,40,4.42
120,60,3.99
120,80,4.22
120,100,4.35
120,120,4.21
120,140,4.15
120,160,4.81
120,180,4.39
120,200,4.22
120,220,4.08
120,240,3.89
120,260,4.46
120,280,4.68
120,300,4.67
120,320,4.75
120,340,4.19
120,360,4.61
120,380,4.42
120,400,4.2
120,420,4.31
120,440,5.2
120,460,3.98
120,480,4.52
120,500,4.07
120,520,4.02
120,540,4.13
120,560,4.1
120,580,4.05
120,600,4.48
120,620,4.55
120,640,4.3
120,660,4.1
120,680,4.67
120,700,4.34
120,720,4.36
120,740,4.27
120,760,4.35
120,780,3.9
120,800,4.1
120,820,4.3
120,840,4.08
120,860,4.6
120,880,4.43
120,900,4.21
120,920,4.08
120,940,3.69
120,960,4.03
120,980,4.12
140,0,4.22
140,20,4.12
140,40,4.02
140,60,5.22
140,80,4.49
140,100,4.98
140,120,3.95
140,140,3.91
140,160,3.64
140,180,3.96
140,200,3.94
140,220,4.34
140,240,4.15
140,260,3.83
140,280,4.01
140,300,4.46
140,320,4.84
140,340,4.73
140,360,5.4
140,380,3.87
140,400,3.92
140,420,4.26
140,440,4.15
140,460,4.04
140,480,3.74
140,500,4.66
140,520,3.67
140,540,3.71
140,560,4.81
140,580,3.88
140,600,4.22
140,620,3.8
140,640,3.81
140,660,3.6
140,680,3.97
140,700,3.89
140,720,3.86
140,740,3.92
140,760,4.27
140,780,4.93
140,800,4.1
140,820,4.38
140,840,4.11
140,860,4.02
140,880,4.25
140,900,4.22
140,920,4.02
140,940,4.55
140,960,3.94
