"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Euphagus cyanocephalus","Euphagus cyanocephalus","species","Quiscale de brewer","Animalia","Chordata","Aves","Passeriformes","Icteridae","Euphagus","Euphagus cyanocephalus"
"Hesperiphona vespertina","Hesperiphona vespertina","species","Hesperiphona vespertinus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina"
"Spinus tristis","Spinus tristis","species","Chardonneret jaune","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus tristis"
"Sturnella magna","Sturnella magna","species","Sturnelle des prés","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella magna"
"Sturnella magna magna","Sturnella magna magna","subspecies","","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella magna"
"Passer domesticus","Passer domesticus","species","Moineau domestique","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus"
"Mimus polyglottos","Mimus polyglottos","species","Moqueur polyglotte","Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","Mimus polyglottos"
"Melanerpes erythrocephalus","Melanerpes erythrocephalus","species","Pic à tête rouge","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Melanerpes erythrocephalus"
"Loxia curvirostra","Loxia curvirostra","species","Bec-croisé des sapins","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia curvirostra"
"Hirundo rustica","Hirundo rustica","species","Hirondelle rustique","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica"
"Eremophila alpestris","Eremophila alpestris","species","Alouette hausse-col","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","Eremophila alpestris"
"Setophaga palmarum","Setophaga palmarum","species","Paruline à couronne rousse","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga palmarum"
