auteur,statut,institution,ville,pays
Loïc Pellissier,NA,ETH Zurich,Zurich,Switzerland
Anna Eklöf,NA,Linkoping University,Linkoping,Sweden
Kate Wootton,Student,Swedish University of Agricultural Sciences,Uppsala,Sweden
João Braga,NA,University Grenoble Alpes,Grenoble,France
Laura J. Pollock,Professor,McGill University,Montreal,Canada
Ceres Barros,NA,University Grenoble Alpes,Grenoble,France
Luigi Maiorano,NA,Universita di Roma,Roma,Italy
Alessandro Montemaggiori,NA,Universita di Roma,Roma,Italy
Gentile Francesco Ficetola,NA,Universita di Roma,Roma,Italy
Stéphane Dray,NA,Universite Claude Bernard Lyon 1,Lyon,France
David García-Callejas,NA,Estacion Biologica de Donana,Sevilla,Spain
Roberto Molowny-Horas,NA,CREAF,Cerdanyola del Valles,Spain
