"auteur1","auteur2","articleID"
"Alain Paquette","Nico Eisenhauer","grossman2018"
"John Parker","Nico Eisenhauer","grossman2018"
"Michael P. Perring","Nico Eisenhauer","grossman2018"
"Quentin Ponette","Nico Eisenhauer","grossman2018"
"Peter B. Reich","Nico Eisenhauer","grossman2018"
"Andreas Schuldt","Nico Eisenhauer","grossman2018"
"Michael Staab","Nico Eisenhauer","grossman2018"
"Martin Weih","Nico Eisenhauer","grossman2018"
"Delphine Clara Zemp","Nico Eisenhauer","grossman2018"
"Michael Scherer-Lorenzen","Nico Eisenhauer","grossman2018"
"Kris Verheyen","Nico Eisenhauer","grossman2018"
"Jake J. Grossman","Olga Ferlian","grossman2018"
"Margot Vanhellemont","Olga Ferlian","grossman2018"
"Nadia Barsoum","Olga Ferlian","grossman2018"
"Jürgen Bauhus","Olga Ferlian","grossman2018"
"Helge Bruelheide","Olga Ferlian","grossman2018"
"Bastien Castagneyrol","Olga Ferlian","grossman2018"
"Jeannine Cavender-Bares","Olga Ferlian","grossman2018"
"Nico Eisenhauer","Olga Ferlian","grossman2018"
"Dominique Gravel","Olga Ferlian","grossman2018"
"Andy Hector","Olga Ferlian","grossman2018"
"Hervé Jactel","Olga Ferlian","grossman2018"
"Holger Kreft","Olga Ferlian","grossman2018"
"Simone Mereu","Olga Ferlian","grossman2018"
"Christian Messier","Olga Ferlian","grossman2018"
"Bart Muys","Olga Ferlian","grossman2018"
"Charles Nock","Olga Ferlian","grossman2018"
"Alain Paquette","Olga Ferlian","grossman2018"
"John Parker","Olga Ferlian","grossman2018"
"Michael P. Perring","Olga Ferlian","grossman2018"
"Quentin Ponette","Olga Ferlian","grossman2018"
"Peter B. Reich","Olga Ferlian","grossman2018"
"Andreas Schuldt","Olga Ferlian","grossman2018"
"Michael Staab","Olga Ferlian","grossman2018"
"Martin Weih","Olga Ferlian","grossman2018"
"Delphine Clara Zemp","Olga Ferlian","grossman2018"
"Michael Scherer-Lorenzen","Olga Ferlian","grossman2018"
"Kris Verheyen","Olga Ferlian","grossman2018"
"Jake J. Grossman","Dominique Gravel","grossman2018"
"Margot Vanhellemont","Dominique Gravel","grossman2018"
"Nadia Barsoum","Dominique Gravel","grossman2018"
"Jürgen Bauhus","Dominique Gravel","grossman2018"
"Helge Bruelheide","Dominique Gravel","grossman2018"
"Bastien Castagneyrol","Dominique Gravel","grossman2018"
"Jeannine Cavender-Bares","Dominique Gravel","grossman2018"
"Nico Eisenhauer","Dominique Gravel","grossman2018"
"Olga Ferlian","Dominique Gravel","grossman2018"
"Andy Hector","Dominique Gravel","grossman2018"
"Hervé Jactel","Dominique Gravel","grossman2018"
