"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Boloria freija","Boloria freija","species","Nacré de l'orcette","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria freija"
"Eurytides marcellus","Eurytides marcellus","species","Eurytides marcellus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Protographium","Protographium marcellus"
"Feniseca tarquinius","Feniseca tarquinius","species","Moissonneur","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Feniseca","Feniseca tarquinius"
"Lycaena arota","Lycaena arota","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Lycaena","Lycaena arota"
"Adelpha eulalia","Adelpha eulalia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis bredowii"
"Callophrys mcfarlandi","Callophrys mcfarlandi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Sandia","Callophrys mcfarlandi"
"Erynnis telemachus","Erynnis telemachus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis telemachus"
"Zestusa dorus","Zestusa dorus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Zestusa","Zestusa dorus"
"Anthocharis sara thoosa","Anthocharis sara thoosa","subspecies","Anthocharis thoosa","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis","Anthocharis thoosa"
"Apodemia mormo","Apodemia mormo","species","Mormon","Animalia","Arthropoda","Insecta","Lepidoptera","Riodinidae","Apodemia","Apodemia mormo"
"Cyllopsis gemma","Cyllopsis gemma","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cyllopsis","Euptychia cornelius"
"Nastra lherminier","Nastra lherminier","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Nastra","Nastra lherminier"
"Glutophrissa drusilla","Glutophrissa drusilla","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Glutophrissa","Glutophrissa drusilla"
"Strymon martialis","Strymon martialis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Thecla","Thecla martialis"
"Eurema daira","Eurema daira","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Eurema","Eurema daira"
"Eantis tamenund","Eantis tamenund","species","Achlyodes mithridates","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Eantis","Eantis tamenund"
"Erebia pawloskii","Erebia pawloskii","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia pawloskii"
"Plebejus acmon","Plebejus acmon","species","Icaricia acmon","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus acmon"
"Calycopis isobeon","Calycopis isobeon","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Calycopis","Calycopis isobeon"
"Lethe creola","Lethe creola","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe creola"
"Amblyscirtes celia","Amblyscirtes celia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Mastor","Mastor celia"
